Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
IGLV5-52	ENSG00000211643	"Immunoglobulin lambda variable 5-52"	A0A0A0MRZ9	"Evidence at protein level"	"Immunoglobulin genes"	Immunity	"Cluster 14: Non-specific - Unknown function"	"Cluster 22: Epididymis - Mixed function"	9.5	0.0	0.0				
IGSF1	ENSG00000147255	"Immunoglobulin superfamily member 1"	Q8N6C5	"Evidence at protein level"	"Intracellular and membrane"	Receptor		"Cluster 20: Pituitary gland - Hormone signaling"	1.8	0.2	0.0			"not detected"	"not detected"
IGSF11	ENSG00000144847	"Immunoglobulin superfamily member 11"	Q5DX21	"Evidence at protein level"				"Cluster 46: Brain & retina - Neuronal signaling"	3.7	0.0	0.0			"not detected"	"not detected"
IGSF3	ENSG00000143061	"Immunoglobulin superfamily member 3"	O75054	"Evidence at protein level"				"Cluster 11: Esophagus - Basic cellular processes"	1.5	8.0	0.0			low	low
IGSF8	ENSG00000162729	"Immunoglobulin superfamily member 8"	Q969P0	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 3: Oligodendrocytes - Myelination"	12.0	1.9	0.2	1434023.5		"not detected"	"not detected"
IGSF9B	ENSG00000080854	"Immunoglobulin superfamily member 9B"	Q9UPX0	"Evidence at protein level"				"Cluster 64: Non-specific - Transcription"	4.4	0.0	0.0				
IK	ENSG00000113141	"IK cytokine"	Q13123	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 39: Testis - Nuclear processes"	130.9	156.1	31.8	5948214.7		high	high
IKBIP	ENSG00000166130	"IKBKB interacting protein"	Q70UQ0	"Evidence at protein level"			"Cluster 45: Eosinophils - Unknown function"	"Cluster 14: Adipose tissue - Angiogenesis"	2.6	26.0	0.6	2480310.8		"not detected"	"not detected"
IKBKB	ENSG00000104365	"Inhibitor of nuclear factor kappa B kinase subunit beta"	O14920	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	15.2	25.2	0.3	1802107.2		low	low
IKBKG	ENSG00000269335	"Inhibitor of nuclear factor kappa B kinase regulatory subunit gamma"	Q9Y6K9	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	19.5	2.6	0.2			low	low
IKZF2	ENSG00000030419	"IKAROS family zinc finger 2"	Q9UKS7	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 80: Thymus - Adaptive immune response"	3.9	1.8	1.5			high	high
IKZF4	ENSG00000123411	"IKAROS family zinc finger 4"	Q9H2S9	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 4: Adrenal gland - Steroid metabolism"	9.3	2.9	0.0			medium	medium
IKZF5	ENSG00000095574	"IKAROS family zinc finger 5"	Q9H5V7	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 44: Bone marrow - Nuclear processes"	9.2	30.4	1.0				
IL10RA	ENSG00000110324	"Interleukin 10 receptor subunit alpha"	Q13651	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 66: Lymphoid tissue - Immune response"	1.5	0.0	1.3				
IL10RB	ENSG00000243646	"Interleukin 10 receptor subunit beta"	Q08334	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 26: Kidney & Intestine - Metabolism"	11.6	0.9	1.6			"not detected"	"not detected"
IL11RA	ENSG00000137070	"Interleukin 11 receptor subunit alpha"	Q14626	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 5: Non-specific - Cell proliferation"	"Cluster 41: Striated muscle - Muscle contraction"	13.4	0.0	0.0			low	low
IL12RB2	ENSG00000081985	"Interleukin 12 receptor subunit beta 2"	Q99665	"Evidence at protein level"	"Intracellular and membrane"	Receptor	"Cluster 15: NK-cells - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	3.3	14.7	0.3				
IL13RA1	ENSG00000131724	"Interleukin 13 receptor subunit alpha 1"	P78552	"Evidence at protein level"	"Intracellular and membrane"	Receptor	"Cluster 7: Non-specific - Innate immune response"	"Cluster 45: Liver - Metabolism & Coagulation"	30.0	0.0	2.6				
IL15	ENSG00000164136	"Interleukin 15"	P40933	"Evidence at protein level"	"Secreted to blood"	Interleukin	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 66: Lymphoid tissue - Immune response"	8.1	4.7	0.4			"not detected"	"not detected"
IL15RA	ENSG00000134470	"Interleukin 15 receptor subunit alpha"	Q13261	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 13: Lung - Secretion"	7.2	37.9	3.3			medium	medium
IL16	ENSG00000172349	"Interleukin 16"	Q14005	"Evidence at protein level"	"Secreted to blood"	Interleukin	"Cluster 35: Neutrophils - Protein binding"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	3.1	0.7	0.2	104516.4		"not detected"	"not detected"
IL17D	ENSG00000172458	"Interleukin 17D"	Q8TAD2	"Evidence at protein level"	"Secreted to blood"	Interleukin		"Cluster 78: Brain - Neuronal signaling"	122.7	0.0	0.0				
IL17RA	ENSG00000177663	"Interleukin 17 receptor A"	Q96F46	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 21: Neutrophils - Unknown function"	"Cluster 15: Bone marrow - Innate immune response"	2.0	4.0	7.3			low	low
IL17RB	ENSG00000056736	"Interleukin 17 receptor B"	Q9NRM6	"Evidence at protein level"	"Intracellular and membrane"	Receptor	"Cluster 5: Non-specific - Cell proliferation"	"Cluster 76: Non-specific - Metabolism"	1.3	0.5	0.0			"not detected"	"not detected"
IL17RC	ENSG00000163702	"Interleukin 17 receptor C"	Q8NAC3	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 31: Liver - Metabolism & Coagulation"	16.1	0.3	0.0			medium	medium
IL18	ENSG00000150782	"Interleukin 18"	Q14116	"Evidence at protein level"	"Secreted to blood"	Interleukin	"Cluster 29: Non-specific - Unknown function"	"Cluster 81: Squamous epithelium - Keratinization"	6.0	17.0	0.3		155249.8	"not detected"	"not detected"
IL18BP	ENSG00000137496	"Interleukin 18 binding protein"	O95998	"Evidence at protein level"	"Secreted to blood"	"No annotated function"	"Cluster 25: Non-specific - Unknown function"	"Cluster 5: Spleen - Immune response"	4.6	5.5	0.0			"not detected"	"not detected"
IL1R1	ENSG00000115594	"Interleukin 1 receptor type 1"	P14778	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 35: Neutrophils - Protein binding"	"Cluster 14: Adipose tissue - Angiogenesis"	17.9	2.9	8.9			"not detected"	"not detected"
IL1R2	ENSG00000115590	"Interleukin 1 receptor type 2"	P27930	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 4: Neutrophils - Degranulation"	"Cluster 11: Esophagus - Basic cellular processes"	1.2	0.8	18.4			"not detected"	"not detected"
IL1RAP	ENSG00000196083	"Interleukin 1 receptor accessory protein"	Q9NPH3	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 21: Neutrophils - Unknown function"	"Cluster 45: Liver - Metabolism & Coagulation"	1.2	3.9	3.2			"not detected"	"not detected"
IL1RL1	ENSG00000115602	"Interleukin 1 receptor like 1"	Q01638	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 41: Basophils - Unknown function"	"Cluster 14: Adipose tissue - Angiogenesis"	2.4	0.0	0.0				
IL20RB	ENSG00000174564	"Interleukin 20 receptor subunit beta"	Q6UXL0	"Evidence at protein level"				"Cluster 58: Skin - Keratinization"	1.0	2.2	0.0				
IL24	ENSG00000162892	"Interleukin 24"	Q13007	"Evidence at protein level"	"Secreted to blood"	Interleukin	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 66: Lymphoid tissue - Immune response"	1.7	0.0	0.0				
IL27RA	ENSG00000104998	"Interleukin 27 receptor subunit alpha"	Q6UWB1	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 66: Lymphoid tissue - Immune response"	1.9	0.0	0.1				
IL2RG	ENSG00000147168	"Interleukin 2 receptor subunit gamma"	P31785	"Evidence at protein level"			"Cluster 1: T-cells - Unknown function"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	2.3	0.7	0.2			"not detected"	"not detected"
IL32	ENSG00000008517	"Interleukin 32"	P24001	"Evidence at protein level"	"Secreted to blood"	Interleukin	"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 26: Kidney & Intestine - Metabolism"	509.6	0.0	2.2				
IL33	ENSG00000137033	"Interleukin 33"	O95760	"Evidence at protein level"	"Secreted to blood"	Interleukin		"Cluster 13: Lung - Secretion"	5.7	0.0	0.2	454159.4		medium	medium
IL34	ENSG00000157368	"Interleukin 34"	Q6ZMJ4	"Evidence at protein level"	"Secreted to blood"	Interleukin	"Cluster 22: Eosinophils - Transcription"	"Cluster 5: Spleen - Immune response"	9.3	0.6	0.6				
IL3RA	ENSG00000185291	"Interleukin 3 receptor subunit alpha"	P26951	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 14: Adipose tissue - Angiogenesis"	11.3	3.3	0.0			medium	medium
IL4R	ENSG00000077238	"Interleukin 4 receptor"	P24394	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 34: B-cells - Unknown function"	"Cluster 66: Lymphoid tissue - Immune response"	9.0	1.9	1.0			low	low
IL6	ENSG00000136244	"Interleukin 6"	P05231	"Evidence at protein level"	"Secreted to blood"	"Acute phase"	"Cluster 14: Non-specific - Unknown function"	"Cluster 14: Adipose tissue - Angiogenesis"	6.8	0.0	0.0			"not detected"	"not detected"
IL6R	ENSG00000160712	"Interleukin 6 receptor"	P08887	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 7: Non-specific - Innate immune response"	"Cluster 63: Non-specific - Basic cellular processes"	90.6	1.0	6.0				
IL6ST	ENSG00000134352	"Interleukin 6 cytokine family signal transducer"	P40189	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 33: Non-specific - ATP binding"	"Cluster 43: Placenta - Pregnancy hormone signaling"	26.2	29.8	12.9	1615417.7		"not detected"	"not detected"
IL7R	ENSG00000168685	"Interleukin 7 receptor"	P16871	"Evidence at protein level"	"Intracellular and membrane"	Receptor	"Cluster 27: T-cells - Unknown function"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	3.9	0.0	1.6			"not detected"	"not detected"
ILF2	ENSG00000143621	"Interleukin enhancer binding factor 2"	Q12905	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation"	96.4	170.1	11.5	85823281.6	11652226.8	high	high
ILF3	ENSG00000129351	"Interleukin enhancer binding factor 3"	Q12906	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 61: Non-specific - Transcription"	78.2	233.2	30.9	101157303.9	3820598.6	high	high
ILK	ENSG00000166333	"Integrin linked kinase"	Q13418	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 12: Smooth muscle tissue - ECM organization"	88.3	32.3	10.5	13801982.5	6592511.3	high	high
ILKAP	ENSG00000132323	"ILK associated serine/threonine phosphatase"	Q9H0C8	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 24: Non-specific - Transcription"	41.2	75.9	4.9	1455120.2	1879282.5	high	high
ILRUN	ENSG00000196821	"Inflammation and lipid regulator with UBA-like and NBR1-like domains"	Q9H6K1	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 19: Skeletal muscle - Striated muscle contraction"	202.1	78.3	6.2			medium	medium
ILVBL	ENSG00000105135	"IlvB acetolactate synthase like"	A1L0T0	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 70: Non-specific - Protein processing"	17.8	9.5	0.2	3104928.6	272759.2	high	high
IMMP1L	ENSG00000148950	"Inner mitochondrial membrane peptidase subunit 1"	Q96LU5	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 25: Non-specific - Basic cellular processes"	46.9	85.1	5.5			low	low
IMMP2L	ENSG00000184903	"Inner mitochondrial membrane peptidase subunit 2"	Q96T52	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 76: Non-specific - Metabolism"	25.7	567.3	5.2			low	low
IMMT	ENSG00000132305	"Inner membrane mitochondrial protein"	Q16891	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 52: Non-specific - Cellular respiration"	186.6	167.6	8.3	366543637.7	385306798.9	low	low
IMP3	ENSG00000177971	"IMP U3 small nucleolar ribonucleoprotein 3"	Q9NV31	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 68: Non-specific - Basic cellular processes"	75.4	65.5	4.8	377977.2			
IMP4	ENSG00000136718	"IMP U3 small nucleolar ribonucleoprotein 4"	Q96G21	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 24: Non-specific - Transcription"	83.9	49.7	3.5	2388142.2			
IMPA1	ENSG00000133731	"Inositol monophosphatase 1"	P29218	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 44: Bone marrow - Nuclear processes"	13.2	31.5	1.8	840740.5	2401246.6	medium	medium
IMPA2	ENSG00000141401	"Inositol monophosphatase 2"	O14732	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 24: Non-specific - Transcription"	260.2	23.5	0.3	1530353.0	39386346.5	"not detected"	"not detected"
IMPACT	ENSG00000154059	"Impact RWD domain protein"	Q9P2X3	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 61: Non-specific - Transcription"	19.1	29.3	3.4	788163.8	4149847.1	medium	medium
IMPDH1	ENSG00000106348	"Inosine monophosphate dehydrogenase 1"	P20839	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 46: Brain & retina - Neuronal signaling"	4.4	8.2	0.4	111161.2		"not detected"	"not detected"
IMPDH2	ENSG00000178035	"Inosine monophosphate dehydrogenase 2"	P12268	"Evidence at protein level"			"Cluster 18: Non-specific - Translation"	"Cluster 54: Non-specific - Ribosome"	230.8	15.9	1.5	7493430.7	13424131.9	medium	medium
INAFM1	ENSG00000257704	"InaF motif containing 1"	C9JVW0	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 4: Adrenal gland - Steroid metabolism"	25.6	2.9	0.1				
INAFM2	ENSG00000259330	"InaF motif containing 2"	P0DMQ5	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 12: Smooth muscle tissue - ECM organization"	12.9	5.5	0.3				
INCA1	ENSG00000196388	"Inhibitor of CDK, cyclin A1 interacting protein 1"	Q0VD86	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 47: Testis - Mixed function"	10.1	0.0	0.0	295301.6			
INCENP	ENSG00000149503	"Inner centromere protein"	Q9NQS7	"Evidence at protein level"				"Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation"	3.9	41.0	1.8			"not detected"	"not detected"
INF2	ENSG00000203485	"Inverted formin 2"	Q27J81	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 74: Non-specific - Signal transduction"	12.2	25.0	6.6	4743601.0	169696.1	"not detected"	"not detected"
ING1	ENSG00000153487	"Inhibitor of growth family member 1"	Q9UK53	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 67: Testis - Mixed function"	11.2	14.1	5.6			low	low
ING2	ENSG00000168556	"Inhibitor of growth family member 2"	Q9H160	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 75: Ovary - Mixed function"	15.0	38.2	6.9			low	low
ING3	ENSG00000071243	"Inhibitor of growth family member 3"	Q9NXR8	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 15: Bone marrow - Innate immune response"	4.5	33.5	3.9			"not detected"	"not detected"
ING4	ENSG00000111653	"Inhibitor of growth family member 4"	Q9UNL4	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 64: Non-specific - Transcription"	18.6	10.9	1.7			"not detected"	"not detected"
ING5	ENSG00000168395	"Inhibitor of growth family member 5"	Q8WYH8	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 64: Non-specific - Transcription"	13.5	55.8	0.2			medium	medium
INHBB	ENSG00000163083	"Inhibin subunit beta B"	P09529	"Evidence at protein level"	"Secreted to blood"	Hormone		"Cluster 14: Adipose tissue - Angiogenesis"	9.9	0.0	0.1				
INHBE	ENSG00000139269	"Inhibin subunit beta E"	P58166	"Evidence at protein level"	"Secreted to blood"	Hormone		"Cluster 53: Liver - Plasma proteins"	1.4	0.0	0.0			"not detected"	"not detected"
INIP	ENSG00000148153	"INTS3 and NABP interacting protein"	Q9NRY2	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 34: Lymphoid tissue - Adaptive immune response"	6.1	39.9	1.7			medium	medium
INKA1	ENSG00000185614	"Inka box actin regulator 1"		"Evidence at transcript level"			"Cluster 32: Basophils - Transcription"	"Cluster 58: Skin - Keratinization"	11.1	3.0	0.0				
INKA2	ENSG00000197852	"Inka box actin regulator 2"	Q9NTI7	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 41: Striated muscle - Muscle contraction"	7.2	26.2	2.1			"not detected"	"not detected"
INMT	ENSG00000241644	"Indolethylamine N-methyltransferase"	O95050	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	13.4	0.0	0.0	1668347.9			
INO80	ENSG00000128908	"INO80 complex ATPase subunit"	Q9ULG1	"Evidence at protein level"				"Cluster 55: Breast - Lactation"	4.8	122.0	4.0	317079.5			
INO80B	ENSG00000115274	"INO80 complex subunit B"	Q9C086	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 64: Non-specific - Transcription"	32.6	0.1	0.3				
INO80C	ENSG00000153391	"INO80 complex subunit C"	Q6PI98	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 39: Testis - Nuclear processes"	39.9	5.7	0.4	34113.3		"not detected"	"not detected"
INO80D	ENSG00000114933	"INO80 complex subunit D"	Q53TQ3	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 15: Bone marrow - Innate immune response"	5.3	3.8	1.8			medium	medium
INO80E	ENSG00000169592	"INO80 complex subunit E"	Q8NBZ0	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 64: Non-specific - Transcription"	36.7	15.5	3.4			"not detected"	"not detected"
INPP1	ENSG00000151689	"Inositol polyphosphate-1-phosphatase"	P49441	"Evidence at protein level"			"Cluster 19: Eosinophils - Unknown function"	"Cluster 39: Testis - Nuclear processes"	20.0	1.0	0.1	1104440.6	559412.2	"not detected"	"not detected"
INPP4A	ENSG00000040933	"Inositol polyphosphate-4-phosphatase type I A"	Q96PE3	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 10: Brain - Synaptic signal transduction"	8.1	58.3	2.8	505567.0		low	low
INPP4B	ENSG00000109452	"Inositol polyphosphate-4-phosphatase type II B"	O15327	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 57: Testis - Spermatogenesis"	7.5	2.1	1.7	405534.3	59069.5	medium	medium
INPP5A	ENSG00000068383	"Inositol polyphosphate-5-phosphatase A"	Q14642	"Evidence at protein level"			"Cluster 46: Basophils - Proteolysis"	"Cluster 25: Non-specific - Basic cellular processes"	70.7	17.9	5.1	1240333.4		medium	medium
INPP5B	ENSG00000204084	"Inositol polyphosphate-5-phosphatase B"	P32019	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 49: Non-specific - Transcription"	8.0	33.7	2.0	97684.6		"not detected"	"not detected"
INPP5D	ENSG00000168918	"Inositol polyphosphate-5-phosphatase D"	Q92835	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 66: Lymphoid tissue - Immune response"	3.8	8.3	0.4	1104775.1		low	low
INPP5E	ENSG00000148384	"Inositol polyphosphate-5-phosphatase E"	Q9NRR6	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 64: Non-specific - Transcription"	8.2	6.0	1.5			high	high
INPP5F	ENSG00000198825	"Inositol polyphosphate-5-phosphatase F"	Q9Y2H2	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 10: Brain - Synaptic signal transduction"	10.1	22.7	4.8		59473.9		
INPP5J	ENSG00000185133	"Inositol polyphosphate-5-phosphatase J"	Q15735	"Evidence at protein level"				"Cluster 69: Parathyroid gland - Mixed function"	2.6	0.0	0.0				
INPP5K	ENSG00000132376	"Inositol polyphosphate-5-phosphatase K"	Q9BT40	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 1: Choroid plexus - Transmembrane transport"	42.4	7.8	11.0	398709.0	452974.7		
INPPL1	ENSG00000165458	"Inositol polyphosphate phosphatase like 1"	O15357	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 24: Non-specific - Transcription"	109.4	8.6	0.2	2099420.7	1194394.3	medium	medium
INSIG1	ENSG00000186480	"Insulin induced gene 1"	O15503	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 45: Liver - Metabolism & Coagulation"	9.0	16.4	6.8				
INSIG2	ENSG00000125629	"Insulin induced gene 2"	Q9Y5U4	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 45: Liver - Metabolism & Coagulation"	6.9	16.4	0.2			medium	medium
INSR	ENSG00000171105	"Insulin receptor"	P06213	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 70: Non-specific - Protein processing"	21.5	133.1	7.9	3107625.2		medium	medium
INSYN1	ENSG00000205363	"Inhibitory synaptic factor 1"	Q2T9L4	"Evidence at protein level"				"Cluster 35: Non-specific - Mixed function"	4.0	0.0	0.0			low	low
INTS1	ENSG00000164880	"Integrator complex subunit 1"	Q8N201	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 24: Non-specific - Transcription"	52.9	26.4	0.3	4943938.5		"not detected"	"not detected"
INTS10	ENSG00000104613	"Integrator complex subunit 10"	Q9NVR2	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 36: Brain & Liver - Signaling"	26.7	60.8	1.7	1145003.7		high	high
INTS11	ENSG00000127054	"Integrator complex subunit 11"	Q5TA45	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 24: Non-specific - Transcription"	87.7	27.9	0.3	2479020.5		low	low
INTS12	ENSG00000138785	"Integrator complex subunit 12"	Q96CB8	"Evidence at protein level"			"Cluster 46: Basophils - Proteolysis"	"Cluster 63: Non-specific - Basic cellular processes"	25.1	38.9	1.7	155287.7		medium	medium
INTS13	ENSG00000064102	"Integrator complex subunit 13"	Q9NVM9	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 25: Non-specific - Basic cellular processes"	18.0	32.7	1.0	2612778.7		"not detected"	"not detected"
INTS14	ENSG00000138614	"Integrator complex subunit 14"	Q96SY0	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 22: Epididymis - Mixed function"	11.2	20.1	0.0	37544.3		medium	medium
INTS15	ENSG00000146576	"Integrator complex subunit 15"	Q96N11	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	20.9	20.6	6.1			medium	medium
INTS2	ENSG00000108506	"Integrator complex subunit 2"	Q9H0H0	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	2.8	37.0	3.3	191909.9		"not detected"	"not detected"
INTS3	ENSG00000143624	"Integrator complex subunit 3"	Q68E01	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 64: Non-specific - Transcription"	12.4	3.8	0.0	6145030.0		"not detected"	"not detected"
INTS4	ENSG00000149262	"Integrator complex subunit 4"	Q96HW7	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 61: Non-specific - Transcription"	7.3	34.1	3.1	1490628.6		low	low
INTS5	ENSG00000185085	"Integrator complex subunit 5"	Q6P9B9	"Evidence at protein level"			"Cluster 1: T-cells - Unknown function"	"Cluster 49: Non-specific - Transcription"	13.1	12.7	0.1	2717290.7			
INTS6	ENSG00000102786	"Integrator complex subunit 6"	Q9UL03	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 57: Testis - Spermatogenesis"	8.3	130.6	8.9	2059017.5		low	low
INTS6L	ENSG00000165359	"Integrator complex subunit 6 like"	Q5JSJ4	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 39: Testis - Nuclear processes"	1.0	83.5	2.1			"not detected"	"not detected"
INTS7	ENSG00000143493	"Integrator complex subunit 7"	Q9NVH2	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 39: Testis - Nuclear processes"	5.1	91.4	4.6	1447559.9			
INTS8	ENSG00000164941	"Integrator complex subunit 8"	Q75QN2	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 39: Testis - Nuclear processes"	11.3	42.0	3.2	198708.8		medium	medium
INTS9	ENSG00000104299	"Integrator complex subunit 9"	Q9NV88	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 39: Testis - Nuclear processes"	11.0	28.1	1.9	1036788.7			
INTU	ENSG00000164066	"Inturned planar cell polarity protein"	Q9ULD6	"Evidence at protein level"				"Cluster 46: Brain & retina - Neuronal signaling"	1.0	17.0	0.2			high	high
INVS	ENSG00000119509	Inversin	Q9Y283	"Evidence at protein level"			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 61: Non-specific - Transcription"	3.3	59.1	3.2				
IP6K1	ENSG00000176095	"Inositol hexakisphosphate kinase 1"	Q92551	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 64: Non-specific - Transcription"	11.7	76.3	10.6			high	high
IP6K2	ENSG00000068745	"Inositol hexakisphosphate kinase 2"	Q9UHH9	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 64: Non-specific - Transcription"	42.7	99.1	4.2			medium	medium
IP6K3	ENSG00000161896	"Inositol hexakisphosphate kinase 3"	Q96PC2	"Evidence at protein level"				"Cluster 19: Skeletal muscle - Striated muscle contraction"	290.7	0.0	0.0			medium	medium
IPMK	ENSG00000151151	"Inositol polyphosphate multikinase"	Q8NFU5	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 76: Non-specific - Metabolism"	2.5	21.5	2.3			medium	medium
IPO11	ENSG00000086200	"Importin 11"	Q9UI26	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 43: Placenta - Pregnancy hormone signaling"	11.9	122.7	7.6	785251.9	63653.9	"not detected"	"not detected"
