Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
CD2AP	ENSG00000198087	"CD2 associated protein"	Q9Y5K6	"Evidence at protein level"			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 77: Intestine - Digestion"	6.4	119.8	13.2	5496848.2	623818.8	low	low
CD2BP2	ENSG00000169217	"CD2 cytoplasmic tail binding protein 2"	O95400	"Evidence at protein level"			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 64: Non-specific - Transcription"	43.7	22.3	0.8	2173128.1		"not detected"	"not detected"
CD300A	ENSG00000167851	"CD300a molecule"	Q9UGN4	"Evidence at protein level"	"Intracellular and membrane"	Receptor	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 66: Lymphoid tissue - Immune response"	1.5	0.3	1.6			medium	medium
CD300E	ENSG00000186407	"CD300e molecule"	Q496F6	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 29: Lymphoid tissue & Bone marrow - Innate immune response"	1.1	0.0	0.7				
CD300LG	ENSG00000161649	"CD300 molecule like family member g"	Q6UXG3	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	20.9	0.0	0.0				
CD302	ENSG00000241399	"CD302 molecule"	Q8IX05	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 45: Liver - Metabolism & Coagulation"	2.5	5.8	0.6				
CD320	ENSG00000167775	"CD320 molecule"	Q9NPF0	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 5: Spleen - Immune response"	32.7	35.9	0.0			"not detected"	"not detected"
CD34	ENSG00000174059	"CD34 molecule"	P28906	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	54.8	0.9	0.0	5469766.1		"not detected"	"not detected"
CD36	ENSG00000135218	"CD36 molecule"	P16671	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 14: Adipose tissue - Angiogenesis"	232.7	1495.3	71.0	63502668.5	35020805.1	low	low
CD37	ENSG00000104894	"CD37 molecule"	P11049	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 66: Lymphoid tissue - Immune response"	1.8	11.0	2.9			"not detected"	"not detected"
CD38	ENSG00000004468	"CD38 molecule"	P28907	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	20.0	10.7	3.3	18518.2	145385.5	"not detected"	"not detected"
CD3D	ENSG00000167286	"CD3 delta subunit of T-cell receptor complex"	P04234	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 80: Thymus - Adaptive immune response"	1.8	0.0	3.7			"not detected"	"not detected"
CD3E	ENSG00000198851	"CD3 epsilon subunit of T-cell receptor complex"	P07766	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 80: Thymus - Adaptive immune response"	1.8	0.0	0.1			"not detected"	"not detected"
CD3G	ENSG00000160654	"CD3 gamma subunit of T-cell receptor complex"	P09693	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 80: Thymus - Adaptive immune response"	9.7	0.2	0.1			"not detected"	"not detected"
CD4	ENSG00000010610	"CD4 molecule"	P01730	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	2.7	5.5	1.0			"not detected"	"not detected"
CD40	ENSG00000101017	"CD40 molecule"	P25942	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 23: B-cells - Immunoglobulins"	"Cluster 66: Lymphoid tissue - Immune response"	5.6	2.6	1.5			"not detected"	"not detected"
CD44	ENSG00000026508	"CD44 molecule (Indian blood group)"	P16070	"Evidence at protein level"	"Secreted to blood"	Receptor	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 58: Skin - Keratinization"	17.5	154.8	26.2	2126526.6	1745831.1	"not detected"	"not detected"
CD46	ENSG00000117335	"CD46 molecule"	P15529	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 69: Parathyroid gland - Mixed function"	45.0	131.0	16.1	6444345.5		"not detected"	"not detected"
CD47	ENSG00000196776	"CD47 molecule"	Q08722	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 32: Retina & Lymphoid tissues - Signaling"	52.9	189.6	13.0	2105962.0	206999.2	low	low
CD48	ENSG00000117091	"CD48 molecule"	P09326	"Evidence at protein level"	"Secreted to blood"	"No annotated function"	"Cluster 33: Non-specific - ATP binding"	"Cluster 18: Lymphoid tissue - Immune response"	2.7	0.0	3.1			"not detected"	"not detected"
CD52	ENSG00000169442	"CD52 molecule"	P31358	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 50: Epididymis - Male reproductive secretion"	8.8	0.1	4.2				
CD53	ENSG00000143119	"CD53 molecule"	P19397	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 18: Lymphoid tissue - Immune response"	4.2	13.5	4.6			medium	medium
CD55	ENSG00000196352	"CD55 molecule (Cromer blood group)"	P08174	"Evidence at protein level"	"Secreted to blood"	"Complement pathway"	"Cluster 35: Neutrophils - Protein binding"	"Cluster 14: Adipose tissue - Angiogenesis"	113.2	99.6	41.9			"not detected"	"not detected"
CD58	ENSG00000116815	"CD58 molecule"	P19256	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 29: Lymphoid tissue & Bone marrow - Innate immune response"	8.5	100.2	18.8	622228.9			
CD59	ENSG00000085063	"CD59 molecule (CD59 blood group)"	P13987	"Evidence at protein level"	"Intracellular and membrane"	"No annotated function"	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 1: Choroid plexus - Transmembrane transport"	561.2	10.8	1.9	18008411.1	17292258.0	low	low
CD63	ENSG00000135404	"CD63 molecule"	P08962	"Evidence at protein level"	"Intracellular and membrane"	Transport	"Cluster 22: Eosinophils - Transcription"	"Cluster 1: Choroid plexus - Transmembrane transport"	888.7	43.8	16.1			"not detected"	"not detected"
CD68	ENSG00000129226	"CD68 molecule"	P34810	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 66: Lymphoid tissue - Immune response"	22.0	0.0	0.3			"not detected"	"not detected"
CD74	ENSG00000019582	"CD74 molecule"	P04233	"Evidence at protein level"	"Secreted to blood"	Immunity	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 18: Lymphoid tissue - Immune response"	296.6	11.2	15.7	389440.0		"not detected"	"not detected"
CD79B	ENSG00000007312	"CD79b molecule"	P40259	"Evidence at protein level"			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 18: Lymphoid tissue - Immune response"	3.2	0.0	0.0			"not detected"	"not detected"
CD81	ENSG00000110651	"CD81 molecule"	P60033	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 74: Non-specific - Signal transduction"	204.5	49.5	5.0	4194224.6		"not detected"	"not detected"
CD82	ENSG00000085117	"CD82 molecule"	P27701	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 11: Esophagus - Basic cellular processes"	23.8	152.6	5.2	257314.7		"not detected"	"not detected"
CD83	ENSG00000112149	"CD83 molecule"	Q01151	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 15: Bone marrow - Innate immune response"	1.3	2.7	3.0			"not detected"	"not detected"
CD9	ENSG00000010278	"CD9 molecule"	P21926	"Evidence at protein level"	"Intracellular and membrane"	"Cell adhesion"	"Cluster 41: Basophils - Unknown function"	"Cluster 11: Esophagus - Basic cellular processes"	61.5	0.3	2.6	3476221.2		"not detected"	"not detected"
CD93	ENSG00000125810	"CD93 molecule"	Q9NPY3	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 14: Adipose tissue - Angiogenesis"	22.6	0.0	0.5	4002342.9	602349.3	"not detected"	"not detected"
CD99	ENSG00000002586	"CD99 molecule (Xg blood group)"	P14209	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 12: Smooth muscle tissue - ECM organization"	187.7	116.2	20.5	389249.0		"not detected"	"not detected"
CD99L2	ENSG00000102181	"CD99 molecule like 2"	Q8TCZ2	"Evidence at protein level"	"Secreted in other tissues"	"Cell adhesion"	"Cluster 5: Non-specific - Cell proliferation"	"Cluster 25: Non-specific - Basic cellular processes"	170.4	13.1	4.5	418207.9		"not detected"	"not detected"
CDA	ENSG00000158825	"Cytidine deaminase"	P32320	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 11: Esophagus - Basic cellular processes"	2.1	0.4	1.2			"not detected"	"not detected"
CDADC1	ENSG00000102543	"Cytidine and dCMP deaminase domain containing 1"	Q9BWV3	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 76: Non-specific - Metabolism"	4.1	42.8	3.2			"not detected"	"not detected"
CDAN1	ENSG00000140326	"Codanin 1"	Q8IWY9	"Evidence at protein level"			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 75: Ovary - Mixed function"	3.4	15.3	0.0			"not detected"	"not detected"
CDC123	ENSG00000151465	"Cell division cycle 123"	O75794	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 44: Bone marrow - Nuclear processes"	51.0	83.4	5.9	114883.1	342079.6	low	low
